country,Revenue , cost ,date,category,customer_name,sales_manager,sales_rep,device_type,order_id,profit
Portugal,"1,70,408","1,43,433",03-11-2020,Clothing,Romaguera-Haley,Celine Tumasian,Aurelie Wren,Mobile,61-7521706,"26,976"
Sweden,"1,57,683","1,30,625",08-06-2019,Electronics,Hegmann Group,Maxie Marrow,Alyosha Meah,Tablet,17-0893784,"27,058"
Portugal,"1,16,158","97,166",14-11-2019,Games,"Parisian, Steuber and Satterfield",Celine Tumasian,Hortense Gerring,PC,23-5766200,"18,992"
France,"56,106","45,081",12-03-2020,Electronics,"Rowe, Hermiston and Kessler",Othello Bowes,Amelina Piscopiello,PC,24-3140242,"11,025"
Sweden,"40,385","32,591",15-07-2020,Smartphones,Armstrong-Little,Maxie Marrow,Tarrah Castelletti,PC,81-0573181,"7,794"
UK,"1,12,492","92,254",24-10-2019,Appliances,Hessel-Stiedemann,Jessamine Apark,Genevra Charrisson,Mobile,13-1936536,"20,237"
Finland,"2,00,636","1,72,246",11-12-2019,Clothing,Larkin-Collier,Hube Corey,Wat Bowkley,PC,94-8026718,"28,390"
Portugal,"2,43,177","2,02,250",03-07-2020,Appliances,Gislason-Stanton,Celine Tumasian,Hortense Gerring,PC,81-5976459,"40,927"
Portugal,"52,227","45,124",14-03-2019,Books,"Farrell, Swaniawski and Crist",Celine Tumasian,Corene Shirer,PC,28-6038070,"7,103"
Bulgaria,"1,47,673","1,29,110",15-10-2019,Electronics,Homenick-Marvin,Charil Alpe,Bernadine Fullagar,PC,81-7970957,"18,562"
France,"1,49,501","1,25,401",24-07-2020,Games,McGlynn-Bergstrom,Othello Bowes,Crysta Halls,PC,60-8646184,"24,100"
France,"53,090","44,813",24-08-2019,Beauty,Goldner-Dibbert,Othello Bowes,Crysta Halls,PC,32-2114915,"8,277"
France,"85,223","73,002",15-09-2019,Beauty,"Hamill, Kulas and Roob",Othello Bowes,Maighdiln Upcraft,PC,58-7865136,"12,221"
Denmark,"58,949","49,417",20-05-2020,Clothing,Wisoky Inc,Modestia Byfford,Case Desorts,PC,98-9112505,"9,532"
Portugal,"1,65,697","1,32,276",22-10-2020,Electronics,Franecki-White,Celine Tumasian,Aurelie Wren,PC,03-0455038,"33,421"
Sweden,"1,77,994","1,45,029",02-12-2019,Outdoors,Johns and Sons,Maxie Marrow,Alyosha Meah,Tablet,71-0122842,"32,964"
France,"1,08,714","90,341",09-03-2020,Clothing,Hessel-Stiedemann,Othello Bowes,Amelina Piscopiello,PC,55-1395838,"18,373"
Finland,"25,816","21,448",08-09-2019,Clothing,Smith Group,Hube Corey,Mellicent Mattys,Mobile,95-7886861,"4,368"
Portugal,"1,54,073","1,21,887",30-09-2020,Beauty,"Rowe, Hermiston and Kessler",Celine Tumasian,Smitty Culverhouse,PC,19-3013452,"32,186"
Finland,"1,94,962","1,54,975",05-07-2020,Appliances,"Rowe, Hermiston and Kessler",Hube Corey,Mellicent Mattys,PC,54-5082146,"39,987"
Portugal,"60,745","52,805",19-03-2020,Smartphones,Gislason-Stanton,Celine Tumasian,Brynn Dempster,PC,69-4462108,"7,939"
Sweden,"39,313","34,273",10-10-2020,Beauty,Corwin and Sons,Maxie Marrow,Anita Woakes,Mobile,68-3731565,"5,040"
France,"1,19,821","98,289",16-06-2019,Appliances,Considine-Fisher,Othello Bowes,Amelina Piscopiello,PC,82-2972108,"21,532"
UK,"1,29,486","1,12,795",05-01-2019,Appliances,McGlynn-Prosacco,Jessamine Apark,Jay Morefield,PC,15-2503493,"16,691"
Italy,"1,63,204","1,40,894",21-06-2019,Smartphones,"Swaniawski, Runolfsson and Green",Piggy Roscrigg,Joshua Prevost,PC,37-0857161,"22,310"
France,"62,788","53,050",13-02-2020,Appliances,Altenwerth-Konopelski,Othello Bowes,Avrit Chanders,PC,71-2709641,"9,738"
Portugal,"1,48,038","1,17,868",14-04-2020,Electronics,Romaguera-Dietrich,Celine Tumasian,Corene Shirer,PC,10-5899580,"30,170"
Ireland,"55,540","45,620",21-03-2020,Electronics,Altenwerth-Konopelski,Glenine Suttaby,Palm Wetherald,PC,10-9241948,"9,919"
France,"1,50,135","1,31,068",09-09-2020,Smartphones,Larkin-Collier,Othello Bowes,Avrit Chanders,PC,68-0080728,"19,067"
Ireland,"85,294","72,662",25-03-2020,Beauty,"Zieme, Bailey and Herzog",Glenine Suttaby,Bunnie Tonbridge,PC,47-0640313,"12,632"
Luxembourg,"1,36,080","1,19,179",29-08-2019,Games,West-Cummings,Ilsa Kob,Jocelyn Laurentino,PC,37-6597365,"16,901"
Finland,"1,86,398","1,61,234",04-12-2020,Appliances,Friesen and Sons,Hube Corey,Mellicent Mattys,Mobile,13-0833129,"25,164"
Germany,"32,695","26,375",28-11-2020,Accessories,Johns and Sons,Rickard Doogood,Casie MacBain,Mobile,15-2994585,"6,320"
France,"86,078","72,288",03-11-2019,Appliances,Johns and Sons,Othello Bowes,Amelina Piscopiello,PC,85-7784608,"13,790"
Sweden,"72,886","59,773",29-12-2020,Clothing,Johns and Sons,Maxie Marrow,Anita Woakes,PC,22-3969127,"13,112"
Portugal,"1,00,470","82,566",17-05-2019,Electronics,Johns and Sons,Celine Tumasian,Aurelie Wren,PC,80-2242820,"17,904"
Sweden,"40,832","34,192",26-04-2019,Appliances,Labadie and Sons,Maxie Marrow,Madelon Bront,PC,35-1705563,"6,639"
Italy,"1,42,353","1,16,046",24-07-2019,Books,Dibbert Inc,Piggy Roscrigg,Joshua Prevost,PC,93-9941140,"26,307"
Sweden,"2,50,315","2,18,825",08-07-2019,Beauty,McGlynn-Prosacco,Maxie Marrow,Alyosha Meah,PC,36-2366573,"31,490"
UK,"1,00,095","84,690",08-11-2020,Games,"Swaniawski, Runolfsson and Green",Jessamine Apark,Genevra Charrisson,PC,10-9932801,"15,405"
UK,"77,129","65,536",09-08-2020,Books,"Dickinson, Hyatt and Berge",Jessamine Apark,Jay Morefield,Mobile,70-8991739,"11,592"
France,"1,76,115","1,49,257",24-11-2020,Electronics,Johns and Sons,Othello Bowes,Maighdiln Upcraft,PC,97-4830372,"26,858"
France,"1,46,326","1,18,333",09-08-2020,Games,Stehr-Bogan,Othello Bowes,Crysta Halls,PC,95-8015610,"27,992"
Germany,"1,61,823","1,30,494",20-07-2020,Clothing,Friesen-Rath,Rickard Doogood,Casie MacBain,PC,84-1062113,"31,329"
Sweden,"1,32,633","1,12,035",23-04-2019,Electronics,"Keeling, Monahan and Pollich",Maxie Marrow,Anita Woakes,PC,05-5082715,"20,598"
Portugal,"1,07,233","85,207",08-03-2020,Appliances,Hessel-Stiedemann,Celine Tumasian,Smitty Culverhouse,PC,35-6942653,"22,026"
Sweden,"1,20,763","96,719",14-04-2020,Clothing,"Murray, Reichel and Nolan",Maxie Marrow,Anita Woakes,PC,79-6623911,"24,044"
Bulgaria,"2,78,732","2,21,592",05-12-2019,Appliances,West-Cummings,Charil Alpe,Bernadine Fullagar,PC,48-7662634,"57,140"
Bulgaria,"1,38,154","1,12,927",14-02-2019,Games,McGlynn-Bergstrom,Charil Alpe,Bernadine Fullagar,PC,46-5888587,"25,227"
Ireland,"68,802","54,636",15-09-2020,Beauty,Kirlin and Sons,Glenine Suttaby,Bunnie Tonbridge,PC,17-3178991,"14,166"
Finland,"35,619","28,193",08-01-2019,Electronics,"Murray, Reichel and Nolan",Hube Corey,Wat Bowkley,PC,18-8528486,"7,427"
UK,"65,015","53,670",27-03-2020,Outdoors,"Dickinson, Hyatt and Berge",Jessamine Apark,Genevra Charrisson,Mobile,55-4588115,"11,345"
Germany,"48,922","39,387",19-10-2020,Outdoors,"Murray, Reichel and Nolan",Rickard Doogood,Casie MacBain,Tablet,19-9073616,"9,535"
France,"1,65,262","1,42,621",19-05-2020,Electronics,Altenwerth-Konopelski,Othello Bowes,Amelina Piscopiello,Mobile,96-0020600,"22,641"
Portugal,"1,64,117","1,33,509",28-05-2020,Electronics,"Zieme, Bailey and Herzog",Celine Tumasian,Corene Shirer,PC,88-7664123,"30,608"
Portugal,"2,38,086","1,93,588",16-07-2020,Clothing,"Rowe, Hermiston and Kessler",Celine Tumasian,Hortense Gerring,PC,17-8884817,"44,498"
Sweden,"1,17,734","97,295",13-07-2019,Electronics,Connelly-Mohr,Maxie Marrow,Tarrah Castelletti,PC,45-5509135,"20,439"
France,"26,713","22,044",12-10-2020,Beauty,Wisoky Inc,Othello Bowes,Ora Grennan,PC,81-4176165,"4,670"
France,"49,664","39,245",30-10-2019,Books,"Swaniawski, Runolfsson and Green",Othello Bowes,Amelina Piscopiello,PC,24-9702599,"10,420"
Sweden,"1,62,102","1,33,912",19-12-2019,Smartphones,"Rowe, Hermiston and Kessler",Maxie Marrow,Tarrah Castelletti,PC,24-4272786,"28,190"
France,"1,18,027","96,051",06-04-2019,Beauty,Johns and Sons,Othello Bowes,Ora Grennan,PC,77-3656041,"21,977"
Sweden,"1,47,995","1,29,643",27-01-2019,Games,Stamm Inc,Maxie Marrow,Alyosha Meah,PC,47-7207206,"18,351"
Finland,"48,947","38,766",19-04-2019,Accessories,"Swaniawski, Runolfsson and Green",Hube Corey,Mellicent Mattys,PC,65-2022928,"10,181"
Sweden,"73,861","60,337",13-11-2020,Clothing,McGlynn-Prosacco,Maxie Marrow,Madelon Bront,PC,16-5837761,"13,524"
Portugal,"86,083","72,310",30-11-2019,Electronics,Connelly-Mohr,Celine Tumasian,Hortense Gerring,PC,80-7090422,"13,773"
Finland,"72,386","60,181",10-09-2019,Clothing,Johns and Sons,Hube Corey,Wat Bowkley,PC,66-8222460,"12,204"
Portugal,"1,20,332","1,02,282",14-01-2020,Clothing,"Parisian, Steuber and Satterfield",Celine Tumasian,Hortense Gerring,Tablet,44-0527427,"18,050"
Sweden,"81,262","65,327",06-09-2019,Books,Johns and Sons,Maxie Marrow,Anita Woakes,Mobile,75-9517276,"15,936"
Austria,"1,39,076","1,13,708",16-12-2020,Games,"Murray, Reichel and Nolan",Orsa Geekin,Bank Coumbe,PC,24-2403756,"25,367"
France,"50,516","43,919",22-03-2019,Electronics,Wiza and Sons,Othello Bowes,Maighdiln Upcraft,PC,50-1986322,"6,597"
Sweden,"1,12,229","97,471",15-09-2019,Outdoors,Gislason-Stanton,Maxie Marrow,Madelon Bront,PC,75-9585763,"14,758"
France,"79,834","63,412",15-06-2019,Appliances,McGlynn-Bergstrom,Othello Bowes,Avrit Chanders,PC,86-6760202,"16,422"
Finland,"1,35,629","1,18,527",12-08-2020,Games,Tillman and Sons,Hube Corey,Mellicent Mattys,PC,66-7717800,"17,103"
Luxembourg,"1,75,332","1,45,000",24-09-2020,Accessories,Hegmann Group,Ilsa Kob,Jocelyn Laurentino,PC,89-8942175,"30,332"
Portugal,"1,01,923","86,115",19-01-2019,Beauty,"Shanahan, Schaden and Parker",Celine Tumasian,Brynn Dempster,Mobile,38-0584273,"15,808"
Germany,"1,90,101","1,60,749",20-12-2019,Electronics,Walter LLC,Rickard Doogood,Casie MacBain,PC,38-8840357,"29,352"
Netherlands,"1,52,772","1,34,424",02-05-2020,Clothing,McClure Inc,Denice Amberg,Nero Harbisher,PC,82-4495901,"18,348"
France,"52,806","43,792",22-06-2020,Smartphones,Kihn Inc,Othello Bowes,Amelina Piscopiello,PC,81-2373308,"9,014"
Portugal,"51,416","43,339",15-04-2020,Smartphones,"Spencer, Rogahn and Muller",Celine Tumasian,Aurelie Wren,PC,15-0224516,"8,077"
Luxembourg,"76,427","66,117",16-03-2019,Clothing,O'Connell-Mitchell,Ilsa Kob,Jocelyn Laurentino,PC,95-6935153,"10,310"
France,"1,18,022","98,229",21-04-2019,Beauty,"Lubowitz, McLaughlin and Erdman",Othello Bowes,Maighdiln Upcraft,PC,60-8661261,"19,792"
Portugal,"59,379","52,176",25-04-2020,Appliances,Schoen-Keeling,Celine Tumasian,Corene Shirer,PC,56-2783503,"7,203"
Spain,"61,325","49,379",29-07-2020,Beauty,Hessel-Stiedemann,Emalia Dinse,Manuel Goudie,Tablet,95-1516475,"11,946"
France,"80,431","69,774",22-07-2019,Beauty,Hessel-Stiedemann,Othello Bowes,Crysta Halls,PC,32-5562588,"10,657"
Portugal,"1,77,919","1,47,370",07-06-2020,Beauty,Walter LLC,Celine Tumasian,Aurelie Wren,PC,70-7769332,"30,549"
Ireland,"37,520","32,781",27-05-2020,Clothing,Kihn Inc,Glenine Suttaby,Bunnie Tonbridge,Mobile,07-6200800,"4,739"
Spain,"68,746","58,015",09-04-2019,Electronics,Labadie and Sons,Emalia Dinse,Manuel Goudie,PC,11-2988171,"10,731"
Denmark,"69,017","55,897",02-04-2020,Electronics,Hegmann Group,Modestia Byfford,Case Desorts,PC,38-3894304,"13,120"
France,"48,850","39,789",31-03-2019,Appliances,"Spencer, Rogahn and Muller",Othello Bowes,Crysta Halls,PC,33-6126082,"9,062"
Netherlands,"2,53,292","2,19,502",12-06-2020,Books,Altenwerth-Konopelski,Denice Amberg,Nero Harbisher,PC,25-4970452,"33,789"
Portugal,"47,187","38,113",28-07-2019,Electronics,"Hartmann, Hane and Pfannerstill",Celine Tumasian,Aurelie Wren,PC,34-8903845,"9,074"
Portugal,"59,671","51,269",10-09-2019,Appliances,"Shanahan, Schaden and Parker",Celine Tumasian,Aurelie Wren,PC,32-2110689,"8,402"
Portugal,"2,28,961","1,83,764",01-06-2020,Appliances,Johns and Sons,Celine Tumasian,Hortense Gerring,PC,37-8204282,"45,197"
France,"1,65,260","1,30,704",26-06-2020,Outdoors,Armstrong-Little,Othello Bowes,Crysta Halls,PC,46-1318487,"34,556"
France,"2,19,912","1,79,426",05-07-2019,Clothing,Smith Group,Othello Bowes,Crysta Halls,PC,99-3971751,"40,486"
Finland,"55,882","48,562",20-05-2020,Clothing,"Murray, Reichel and Nolan",Hube Corey,Mellicent Mattys,PC,24-7985425,"7,321"
France,"16,389","13,431",15-03-2020,Electronics,West-Cummings,Othello Bowes,Crysta Halls,PC,30-9690927,"2,958"
Spain,"85,927","74,490",15-04-2019,Clothing,"Hartmann, Hane and Pfannerstill",Emalia Dinse,Perri Aldersley,PC,37-5025811,"11,437"
France,"1,61,212","1,38,046",04-07-2020,Accessories,Hilll-Vandervort,Othello Bowes,Crysta Halls,PC,21-6670877,"23,166"
France,"66,678","53,009",04-03-2019,Smartphones,Walter LLC,Othello Bowes,Amelina Piscopiello,PC,34-3119010,"13,669"
Sweden,"1,48,243","1,20,566",07-12-2020,Beauty,Johns and Sons,Maxie Marrow,Madelon Bront,PC,54-7503816,"27,677"
Ireland,"1,26,523","1,06,368",14-05-2020,Games,Gleichner-Green,Glenine Suttaby,Bunnie Tonbridge,PC,96-1698894,"20,155"
Ireland,"63,374","55,572",03-03-2020,Clothing,"Dickinson, Hyatt and Berge",Glenine Suttaby,Bunnie Tonbridge,PC,92-0523700,"7,801"
Ireland,"76,768","64,500",22-01-2020,Games,"Spencer, Rogahn and Muller",Glenine Suttaby,Bunnie Tonbridge,PC,15-3657248,"12,267"
Portugal,"78,939","65,472",24-04-2019,Games,"Fisher, Morar and Skiles",Celine Tumasian,Brynn Dempster,PC,16-3423161,"13,467"
France,"1,31,864","1,10,278",09-04-2019,Appliances,"Murray, Reichel and Nolan",Othello Bowes,Ora Grennan,PC,67-2684209,"21,586"
Portugal,"1,16,774","98,955",21-04-2019,Accessories,Labadie and Sons,Celine Tumasian,Hortense Gerring,Mobile,21-7344983,"17,820"
France,"1,41,113","1,20,045",08-08-2020,Electronics,Gislason-Stanton,Othello Bowes,Avrit Chanders,Mobile,47-9701762,"21,068"
Bulgaria,"33,211","29,109",20-11-2020,Books,Hessel-Stiedemann,Charil Alpe,Bernadine Fullagar,PC,86-3876359,"4,102"
France,"1,74,392","1,41,450",03-08-2020,Smartphones,Labadie and Sons,Othello Bowes,Ora Grennan,PC,34-4313860,"32,943"
Sweden,"2,04,485","1,77,309",16-06-2019,Games,"Hermiston, Simonis and Wisoky",Maxie Marrow,Caro Morfield,Tablet,71-4782689,"27,176"
Germany,"80,986","64,125",02-12-2019,Appliances,"Dickinson, Hyatt and Berge",Rickard Doogood,Casie MacBain,Mobile,85-3690127,"16,861"
Sweden,"1,79,180","1,54,937",22-10-2019,Books,"Zieme, Bailey and Herzog",Maxie Marrow,Anita Woakes,PC,66-5810051,"24,243"
Netherlands,"99,731","84,732",12-01-2020,Electronics,Smith Group,Denice Amberg,Nero Harbisher,PC,81-9170157,"15,000"
France,"32,662","27,922",08-02-2020,Electronics,"Zieme, Bailey and Herzog",Othello Bowes,Amelina Piscopiello,PC,24-7300640,"4,739"
Sweden,"30,167","24,658",29-11-2019,Appliances,Corwin and Sons,Maxie Marrow,Tarrah Castelletti,PC,97-1288901,"5,508"
Germany,"36,747","31,900",19-01-2019,Accessories,Johns and Sons,Rickard Doogood,Casie MacBain,PC,81-9757849,"4,847"
France,"66,885","58,544",19-01-2020,Smartphones,Wisoky Inc,Othello Bowes,Crysta Halls,PC,44-9179070,"8,341"
Portugal,"1,65,306","1,34,757",13-07-2019,Games,"Christiansen, Donnelly and Bechtelar",Celine Tumasian,Aurelie Wren,PC,55-2137809,"30,548"
Sweden,"50,618","41,836",05-03-2019,Beauty,Hegmann Group,Maxie Marrow,Tarrah Castelletti,PC,56-1063618,"8,782"
Sweden,"82,116","70,653",30-05-2020,Beauty,"Zieme, Bailey and Herzog",Maxie Marrow,Caro Morfield,Tablet,01-8080546,"11,463"
Sweden,"1,06,143","88,151",04-06-2019,Games,Baumbach Group,Maxie Marrow,Anita Woakes,PC,29-5632797,"17,991"
Portugal,"1,49,514","1,22,646",18-10-2020,Games,"Bashirian, Okuneva and Bechtelar",Celine Tumasian,Smitty Culverhouse,Mobile,20-1191256,"26,868"
Sweden,"30,976","27,073",15-03-2020,Clothing,McGlynn-Bergstrom,Maxie Marrow,Tarrah Castelletti,PC,33-4022317,"3,903"
France,"1,65,119","1,37,527",02-11-2019,Clothing,Smith Group,Othello Bowes,Amelina Piscopiello,PC,59-5892824,"27,591"
Germany,"76,653","64,312",04-08-2020,Accessories,"Farrell, Swaniawski and Crist",Rickard Doogood,Casie MacBain,PC,52-3394023,"12,341"
UK,"1,51,632","1,20,745",14-07-2020,Clothing,Armstrong-Little,Jessamine Apark,Winny Agnolo,PC,89-5350599,"30,888"
France,"35,290","29,425",26-02-2019,Smartphones,Armstrong-Little,Othello Bowes,Maighdiln Upcraft,PC,92-6298656,"5,865"
France,"77,044","63,245",08-02-2020,Outdoors,Armstrong-Little,Othello Bowes,Avrit Chanders,PC,91-7317758,"13,799"
Portugal,"59,692","49,240",17-06-2019,Other,Walter LLC,Celine Tumasian,Hortense Gerring,PC,60-6055725,"10,452"
Portugal,"1,81,882","1,49,835",28-07-2019,Books,McClure Inc,Celine Tumasian,Corene Shirer,PC,33-2816759,"32,048"
Portugal,"50,796","44,091",21-09-2019,Books,"Farrell, Swaniawski and Crist",Celine Tumasian,Hortense Gerring,PC,05-2359767,"6,705"
Netherlands,"73,982","61,960",18-11-2019,Clothing,"Hamill, Kulas and Roob",Denice Amberg,Nero Harbisher,PC,73-9492768,"12,022"
UK,"1,05,686","86,694",13-10-2019,Outdoors,Johns and Sons,Jessamine Apark,Genevra Charrisson,PC,31-6770318,"18,992"
Sweden,"1,49,376","1,23,654",31-01-2020,Other,"Fisher, Morar and Skiles",Maxie Marrow,Alyosha Meah,PC,52-0695511,"25,723"
Netherlands,"85,238","72,384",18-03-2020,Smartphones,Armstrong-Little,Denice Amberg,Nero Harbisher,PC,45-8314773,"12,854"
Luxembourg,"1,04,743","83,281",24-03-2019,Electronics,Johns and Sons,Ilsa Kob,Jocelyn Laurentino,Mobile,53-0205940,"21,462"
Portugal,"2,90,552","2,39,531",14-12-2020,Other,Hessel-Stiedemann,Celine Tumasian,Brynn Dempster,PC,53-1660551,"51,021"
France,"72,315","57,309",27-08-2019,Appliances,Johns and Sons,Othello Bowes,Ora Grennan,PC,70-5394452,"15,005"
Netherlands,"1,19,858","99,998",19-11-2020,Electronics,McGlynn-Prosacco,Denice Amberg,Nero Harbisher,PC,10-0386535,"19,861"
Portugal,"1,19,937","98,721",13-08-2019,Games,"Hartmann, Hane and Pfannerstill",Celine Tumasian,Aurelie Wren,PC,56-8476539,"21,217"
France,"60,592","52,364",22-02-2019,Accessories,"Rowe, Hermiston and Kessler",Othello Bowes,Crysta Halls,PC,04-7976277,"8,228"
Ireland,"31,967","26,593",24-08-2020,Appliances,Johns and Sons,Glenine Suttaby,Palm Wetherald,PC,21-2965409,"5,374"
Portugal,"83,226","71,700",22-11-2020,Beauty,"Swaniawski, Runolfsson and Green",Celine Tumasian,Corene Shirer,PC,04-2788693,"11,527"
Germany,"51,407","44,293",02-05-2019,Clothing,Altenwerth-Konopelski,Rickard Doogood,Casie MacBain,Tablet,20-6477396,"7,115"
Germany,"61,968","50,690",27-12-2020,Electronics,Romaguera-Dietrich,Rickard Doogood,Casie MacBain,PC,22-7259031,"11,278"
Ireland,"2,71,465","2,17,959",03-07-2019,Electronics,Corwin and Sons,Glenine Suttaby,Bunnie Tonbridge,Mobile,44-9239029,"53,506"
Sweden,"86,855","72,220",04-02-2020,Books,Tillman and Sons,Maxie Marrow,Tarrah Castelletti,PC,77-4566105,"14,635"
Ireland,"1,19,819","1,05,441",07-12-2020,Smartphones,Dibbert Inc,Glenine Suttaby,Palm Wetherald,PC,29-3662564,"14,378"
UK,"1,60,764","1,31,103",18-04-2019,Appliances,McGlynn-Prosacco,Jessamine Apark,Genevra Charrisson,PC,73-8057834,"29,661"
Sweden,"44,029","38,345",09-09-2019,Other,McGlynn-Bergstrom,Maxie Marrow,Alyosha Meah,PC,87-9980890,"5,684"
France,"86,628","72,465",06-11-2019,Appliances,Kihn Inc,Othello Bowes,Crysta Halls,PC,98-8250897,"14,164"
Portugal,"97,641","83,415",17-10-2020,Books,Morissette Group,Celine Tumasian,Brynn Dempster,PC,98-3051699,"14,226"
Portugal,"98,747","80,400",10-02-2020,Appliances,Considine-Fisher,Celine Tumasian,Smitty Culverhouse,PC,75-7291972,"18,347"
France,"1,09,563","89,918",05-08-2020,Appliances,"Dickinson, Hyatt and Berge",Othello Bowes,Maighdiln Upcraft,PC,67-3672347,"19,645"
UK,"60,302","48,820",08-02-2019,Beauty,Wiza and Sons,Jessamine Apark,Jay Morefield,PC,75-1785229,"11,481"
France,"80,782","68,971",19-01-2019,Smartphones,McGlynn-Prosacco,Othello Bowes,Ora Grennan,Mobile,53-1426071,"11,810"
France,"2,38,659","2,04,507",23-12-2019,Appliances,Corwin and Sons,Othello Bowes,Amelina Piscopiello,Tablet,49-7167664,"34,152"
UK,"1,65,632","1,39,114",03-09-2019,Appliances,Johns and Sons,Jessamine Apark,Jay Morefield,PC,07-7047482,"26,518"
Sweden,"1,26,683","1,06,515",11-06-2019,Smartphones,"Murray, Reichel and Nolan",Maxie Marrow,Madelon Bront,PC,57-1931933,"20,168"
Sweden,"1,45,558","1,16,257",20-12-2019,Clothing,Konopelski LLC,Maxie Marrow,Tarrah Castelletti,Tablet,15-5167065,"29,301"
Spain,"59,164","50,419",11-03-2019,Smartphones,McClure Inc,Emalia Dinse,Perri Aldersley,Mobile,98-9382686,"8,744"
Sweden,"1,40,353","1,22,303",01-12-2019,Smartphones,Hilll-Vandervort,Maxie Marrow,Caro Morfield,PC,47-5733147,"18,049"
France,"1,63,401","1,39,414",22-04-2019,Clothing,Wisoky Inc,Othello Bowes,Avrit Chanders,PC,98-2104934,"23,987"
Sweden,"1,77,867","1,40,675",03-10-2020,Smartphones,Walter LLC,Maxie Marrow,Anita Woakes,PC,30-6005742,"37,192"
Germany,"58,417","46,745",07-02-2019,Clothing,Morissette Group,Rickard Doogood,Casie MacBain,PC,21-7461655,"11,672"
Germany,"1,69,545","1,37,569",12-04-2020,Appliances,"Keeling, Monahan and Pollich",Rickard Doogood,Casie MacBain,Mobile,96-7625873,"31,976"
Luxembourg,"74,733","64,098",24-02-2020,Beauty,McClure Inc,Ilsa Kob,Jocelyn Laurentino,PC,53-2132479,"10,634"
Portugal,"55,167","47,443",13-04-2020,Books,Gislason-Stanton,Celine Tumasian,Hortense Gerring,PC,70-4650708,"7,723"
France,"99,319","79,128",26-05-2020,Games,Hessel-Stiedemann,Othello Bowes,Amelina Piscopiello,PC,53-3037652,"20,192"
Sweden,"1,18,982","95,507",15-01-2020,Clothing,Stehr-Bogan,Maxie Marrow,Caro Morfield,Mobile,76-0774122,"23,475"
Ireland,"1,57,008","1,26,941",31-08-2019,Beauty,Friesen-Rath,Glenine Suttaby,Bunnie Tonbridge,PC,72-3928347,"30,067"
France,"49,374","39,208",21-05-2019,Books,Stehr LLC,Othello Bowes,Ora Grennan,PC,87-1399932,"10,166"
Portugal,"1,23,892","1,04,119",23-07-2019,Games,Hegmann Group,Celine Tumasian,Smitty Culverhouse,PC,25-1045028,"19,773"
France,"2,34,340","2,04,438",13-12-2020,Clothing,Hessel-Stiedemann,Othello Bowes,Avrit Chanders,PC,70-0364033,"29,902"
Netherlands,"95,576","75,505",23-12-2020,Books,Hessel-Stiedemann,Denice Amberg,Nero Harbisher,PC,35-9372764,"20,071"
Finland,"1,25,280","99,372",18-10-2019,Beauty,Romaguera-Dietrich,Hube Corey,Wat Bowkley,PC,36-1142710,"25,908"
Portugal,"1,27,482","1,08,615",26-08-2020,Beauty,Hilll-Vandervort,Celine Tumasian,Aurelie Wren,PC,75-6291395,"18,867"
Portugal,"1,20,454","97,218",11-02-2019,Beauty,"Schowalter, Lesch and Beahan",Celine Tumasian,Brynn Dempster,PC,00-3338378,"23,235"
Portugal,"1,20,152","97,528",29-09-2019,Outdoors,Romaguera-Dietrich,Celine Tumasian,Smitty Culverhouse,PC,55-1904761,"22,625"
Portugal,"95,411","80,594",22-09-2020,Books,"Murray, Reichel and Nolan",Celine Tumasian,Hortense Gerring,Mobile,70-9736399,"14,817"
France,"1,28,805","1,05,710",13-09-2019,Appliances,Connelly-Mohr,Othello Bowes,Amelina Piscopiello,Tablet,20-3125420,"23,095"
Italy,"26,900","23,199",19-03-2019,Games,Hessel-Stiedemann,Piggy Roscrigg,Joshua Prevost,PC,57-2968987,"3,701"
UK,"1,23,752","1,02,590",18-11-2019,Smartphones,Johns and Sons,Jessamine Apark,Jay Morefield,PC,76-2146784,"21,162"
Sweden,"37,081","31,304",11-03-2019,Beauty,McGlynn-Prosacco,Maxie Marrow,Anita Woakes,PC,19-3129154,"5,777"
France,"1,33,906","1,16,886",01-08-2020,Books,"Keeling, Monahan and Pollich",Othello Bowes,Avrit Chanders,Mobile,79-0973971,"17,019"
France,"63,299","53,646",10-04-2020,Appliances,"Schowalter, Lesch and Beahan",Othello Bowes,Avrit Chanders,Mobile,65-5376517,"9,653"
France,"2,74,242","2,27,950",09-12-2020,Outdoors,Hessel-Stiedemann,Othello Bowes,Amelina Piscopiello,Mobile,80-5258827,"46,292"
Luxembourg,"3,12,929","2,70,402",12-12-2019,Beauty,Altenwerth-Konopelski,Ilsa Kob,Jocelyn Laurentino,Tablet,98-5257166,"42,527"
France,"1,19,156","1,00,711",20-08-2019,Beauty,Johns and Sons,Othello Bowes,Ora Grennan,PC,19-5610175,"18,445"
France,"1,62,124","1,33,979",14-04-2020,Beauty,Johns and Sons,Othello Bowes,Maighdiln Upcraft,PC,94-3509391,"28,145"
Ireland,"65,831","52,487",12-01-2019,Electronics,"Christiansen, Donnelly and Bechtelar",Glenine Suttaby,Palm Wetherald,PC,43-5417299,"13,344"
France,"1,80,515","1,48,853",26-12-2019,Books,Franecki-White,Othello Bowes,Amelina Piscopiello,PC,68-6141868,"31,662"
UK,"99,115","84,218",04-04-2020,Clothing,Johns and Sons,Jessamine Apark,Winny Agnolo,PC,29-8979189,"14,897"
